writer,writer_score
Richard Linklater,5
Peter Filardi,5
William Peter Blatty,1
Stefani Warren,1
Scott Alexander,1
Jim Thompson,1
Reginald Hudlin,5
John Fasano,5
John A. Russo,1
Daniel Pyne,5
Carrie Fisher,1
Anaïs Nin,1
Steven McKay,1
Allan Moyle,1
Karin Howard,0
Kim Henkel,5
Alan Dershowitz,1
Robert Martin,0
Dennis McIntyre,0
Michael Grais,1
Catherine Cyran,1
Christopher Robbins,0
John Kostmayer,1
Mark L. Lester,0
David S. Goyer,5
Glenn Savan,1
Abbas Kiarostami,1
Steve MacManus,1
Philip Ridley,1
Chuck Pfarrer,0
Paul Bowles,0
Jonathan Tydor,0
Ian McEwan,5
Karen Leigh Hopkins,5
David Koepp,5
Boaz Yakin,5
Peter Weir,1
Whit Stillman,1
Agnieszka Holland,1
Arthur Miller,0
Anthony Minghella,1
Judith Rascoe,0
Alan Burnett,1
John le Carré,5
Dennis Marks,1
Peter Viertel,0
Jill Mazursky,0
Bob Logan,5
Step Tyner,0
Charles Willeford,1
Jim Sheridan,1
David Thoreau,0
Robert Resnikoff,1
Joseph Hayes,0
Heng Liu,0
Charles Beaumont,0
Claude Klotz,1
Charlie Cohen,1
Gary Paulsen,1
John Cork,1
William Harrison,0
Edgar Allan Poe,0
Evan S. Connell,1
Simon Brett,0
Sarah Bird,0
Brian Aldiss,5
Jonathan Lynn,1
Edwin Torres,1
Janet Frame,1
Pat Barker,0
Steven Long Mitchell,1
Brent Maddock,1
William Kotzwinkle,1
Jim Allen,1
Massimo De Rita,1
Patrick Read Johnson,5
Michael Lehmann,0
James Bond III,1
James D. Parriott,1
Louis Nucéra,1
Julian Mitchell,0
Andy Ruben,1
Olive Higgins Prouty,1
